Assessment Name,URL,Remote Testing,Adaptive/IRT,Test Type,Description,Duration,Embedding text
Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,Yes,No,"A, E, B, C, D, P","This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.
The Job levels: Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,",,"Global Skills Development Report is an SHL assessment designed to evaluate This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.
The Job levels: Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,.
It falls under the category of 'A, E, B, C, D, P', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is  minutes."
.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,Yes,Yes,K,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.
The Job levels: Professional Individual Contributor, Mid-Professional,
Languages allowed: English (USA),",30,".NET Framework 4.5 is an SHL assessment designed to evaluate The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.
The Job levels: Professional Individual Contributor, Mid-Professional,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 30 minutes."
.NET MVC (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,Yes,No,K,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",17,".NET MVC (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 17 minutes."
.NET MVVM (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,Yes,No,K,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",5,".NET MVVM (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 5 minutes."
.NET WCF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,Yes,No,K,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",11,".NET WCF (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 11 minutes."
.NET WPF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,Yes,No,K,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",9,".NET WPF (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 9 minutes."
.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,Yes,No,K,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",5,".NET XAML (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 5 minutes."
Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,Yes,No,K,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.
The Job levels: Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",9,"Accounts Payable (New) is an SHL assessment designed to evaluate Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.
The Job levels: Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 9 minutes."
Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,Yes,No,S,"Simulated data entry test that measures the ability to process payables and vendor invoices.
The Job levels: Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",8,"Accounts Payable Simulation (New) is an SHL assessment designed to evaluate Simulated data entry test that measures the ability to process payables and vendor invoices.
The Job levels: Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'S', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 8 minutes."
Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,Yes,No,K,"Multiple-choice test that measures the knowledge of processing receivables and invoices.
The Job levels: Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",13,"Accounts Receivable (New) is an SHL assessment designed to evaluate Multiple-choice test that measures the knowledge of processing receivables and invoices.
The Job levels: Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 13 minutes."
